HomeTeam,AwayTeam,FTHG,FTAG,FTR,TotalHomeMatches,TotalAwayMatches,TotalHomeGoals,TotalAwayGoals,TotalHomeConceded,TotalAwayConceded,TotalHomePoints,TotalAwayPoints,AverageHomeGoalsScored,AverageAwayGoalsScored,AverageHomeGoalsConceded,AverageAwayGoalsConceded,AverageHomePoints,AverageAwayPoints,AverageHomeGoalsScoredLast6,AverageAwayGoalsScoredLast6,AverageHomeGoalsConcededLast6,AverageAwayGoalsConcededLast6,AverageHomePointsLast6,AverageAwayPointsLast6,HistoricalAvgHomePoints,HistoricalAvgAwayPoints,IsItEliteHome,IsItEliteAway
Chelsea,Sunderland,3,1,H,16,16,18,17,26,30,15,12,1.125,1.0625,1.625,1.875,0.9375,0.75,0.5,1.0,1.1666666666666667,1.8333333333333333,0.6666666666666666,1.0,73.28571428571429,39.642857142857146,1,0
Everton,Leicester,2,3,A,16,16,29,34,21,22,23,35,1.8125,2.125,1.3125,1.375,1.4375,2.1875,2.6666666666666665,2.3333333333333335,1.3333333333333333,0.8333333333333334,1.6666666666666667,2.6666666666666665,53.285714285714285,42.55555555555556,0,0
Man United,Norwich,1,2,A,16,16,21,18,12,28,29,14,1.3125,1.125,0.75,1.75,1.8125,0.875,1.0,0.6666666666666666,0.6666666666666666,1.1666666666666667,1.5,0.8333333333333334,81.42857142857143,40.0,1,0
Newcastle,Aston Villa,1,1,D,16,16,18,13,31,30,16,6,1.125,0.8125,1.9375,1.875,1.0,0.375,1.0,0.6666666666666666,1.5,2.1666666666666665,1.6666666666666667,0.3333333333333333,53.45,51.19047619047619,0,0
Southampton,Tottenham,0,2,A,16,16,21,26,19,14,21,26,1.3125,1.625,1.1875,0.875,1.3125,1.625,0.8333333333333334,1.6666666666666667,1.0,1.0,1.1666666666666667,1.5,46.5,56.523809523809526,0,1
Stoke,Crystal Palace,1,2,A,16,16,13,21,14,15,23,26,0.8125,1.3125,0.875,0.9375,1.4375,1.625,0.6666666666666666,1.5,0.3333333333333333,0.6666666666666666,1.8333333333333333,1.8333333333333333,47.0,40.8,0,0
West Brom,Bournemouth,1,2,A,16,16,16,20,21,31,20,16,1.0,1.25,1.3125,1.9375,1.25,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.5,1.0,1.3333333333333333,38.333333333333336,0.0,0,0
Swansea,West Ham,0,0,D,16,16,15,25,24,21,14,24,0.9375,1.5625,1.5,1.3125,0.875,1.5,0.5,0.5,2.0,1.3333333333333333,0.16666666666666666,0.6666666666666666,47.75,46.94444444444444,0,0
Watford,Liverpool,3,0,H,16,16,18,20,16,19,25,24,1.125,1.25,1.0,1.1875,1.5625,1.5,1.6666666666666667,1.8333333333333333,1.0,1.3333333333333333,2.0,1.6666666666666667,26.0,67.71428571428571,0,1
Arsenal,Man City,2,1,H,16,16,29,32,13,17,33,32,1.8125,2.0,0.8125,1.0625,2.0625,2.0,1.8333333333333333,1.3333333333333333,0.8333333333333334,1.5,1.8333333333333333,1.6666666666666667,73.76190476190476,57.8125,1,1
Aston Villa,West Ham,1,1,D,17,17,14,25,31,21,7,25,0.8235294117647058,1.4705882352941178,1.8235294117647058,1.2352941176470589,0.4117647058823529,1.4705882352941178,0.6666666666666666,0.5,1.8333333333333333,1.0,0.5,0.8333333333333334,51.19047619047619,46.94444444444444,0,0
Bournemouth,Crystal Palace,0,0,D,17,17,22,23,32,16,19,29,1.2941176470588236,1.3529411764705883,1.8823529411764706,0.9411764705882353,1.1176470588235294,1.7058823529411764,1.6666666666666667,1.8333333333333333,1.3333333333333333,0.8333333333333334,1.8333333333333333,2.1666666666666665,0.0,40.8,0,0
Chelsea,Watford,2,2,D,17,17,21,21,27,16,18,28,1.2352941176470589,1.2352941176470589,1.588235294117647,0.9411764705882353,1.0588235294117647,1.6470588235294117,0.8333333333333334,1.8333333333333333,0.8333333333333334,1.0,1.1666666666666667,2.0,73.28571428571429,26.0,1,0
Liverpool,Leicester,1,0,H,17,17,20,37,22,24,24,38,1.1764705882352942,2.176470588235294,1.2941176470588236,1.411764705882353,1.411764705882353,2.235294117647059,1.3333333333333333,2.3333333333333335,1.6666666666666667,0.8333333333333334,1.1666666666666667,2.6666666666666665,67.71428571428571,42.55555555555556,1,0
Man City,Sunderland,4,1,H,17,17,33,18,19,33,32,12,1.9411764705882353,1.0588235294117647,1.1176470588235294,1.9411764705882353,1.8823529411764706,0.7058823529411765,1.1666666666666667,0.8333333333333334,1.6666666666666667,1.3333333333333333,1.1666666666666667,1.0,57.8125,39.642857142857146,1,0
Newcastle,Everton,0,1,A,17,17,19,31,32,24,17,23,1.1176470588235294,1.8235294117647058,1.8823529411764706,1.411764705882353,1.0,1.3529411764705883,1.1666666666666667,2.0,1.6666666666666667,1.5,1.6666666666666667,1.1666666666666667,53.45,53.285714285714285,0,0
Southampton,Arsenal,4,0,H,17,17,21,31,21,14,21,36,1.2352941176470589,1.8235294117647058,1.2352941176470589,0.8235294117647058,1.2352941176470589,2.1176470588235294,0.5,1.6666666666666667,1.3333333333333333,1.0,0.6666666666666666,1.8333333333333333,46.5,73.76190476190476,0,1
Stoke,Man United,2,0,H,17,17,14,22,16,14,23,29,0.8235294117647058,1.2941176470588236,0.9411764705882353,0.8235294117647058,1.3529411764705883,1.7058823529411764,0.8333333333333334,1.1666666666666667,0.6666666666666666,1.0,1.6666666666666667,1.3333333333333333,47.0,81.42857142857143,0,1
Swansea,West Brom,1,0,H,17,17,15,17,24,23,15,20,0.8823529411764706,1.0,1.411764705882353,1.3529411764705883,0.8823529411764706,1.1764705882352942,0.5,1.1666666666666667,1.5,1.5,0.3333333333333333,1.0,47.75,38.333333333333336,0,0
Tottenham,Norwich,3,0,H,17,17,28,20,14,29,29,17,1.6470588235294117,1.1764705882352942,0.8235294117647058,1.7058823529411764,1.7058823529411764,1.0,1.5,0.8333333333333334,0.8333333333333334,1.0,1.5,1.3333333333333333,56.523809523809526,40.0,1,0
Arsenal,Bournemouth,2,0,H,18,18,31,22,18,32,36,20,1.7222222222222223,1.2222222222222223,1.0,1.7777777777777777,2.0,1.1111111111111112,1.5,1.6666666666666667,1.5,1.1666666666666667,1.6666666666666667,2.0,73.76190476190476,0.0,1,0
Crystal Palace,Swansea,0,0,D,18,18,23,16,16,24,30,18,1.2777777777777777,0.8888888888888888,0.8888888888888888,1.3333333333333333,1.6666666666666667,1.0,1.5,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.8333333333333333,0.8333333333333334,40.8,47.75,0,0
Everton,Stoke,3,4,A,18,18,32,16,24,16,26,26,1.7777777777777777,0.8888888888888888,1.3333333333333333,0.8888888888888888,1.4444444444444444,1.4444444444444444,2.0,1.0,1.3333333333333333,0.6666666666666666,1.5,1.6666666666666667,53.285714285714285,47.0,0,0
Man United,Chelsea,0,0,D,18,18,22,23,16,29,29,19,1.2222222222222223,1.2777777777777777,0.8888888888888888,1.6111111111111112,1.6111111111111112,1.0555555555555556,0.8333333333333334,1.1666666666666667,1.3333333333333333,1.0,0.8333333333333334,1.3333333333333333,81.42857142857143,73.28571428571429,1,1
Norwich,Aston Villa,2,0,H,18,18,20,15,32,32,17,8,1.1111111111111112,0.8333333333333334,1.7777777777777777,1.7777777777777777,0.9444444444444444,0.4444444444444444,0.6666666666666666,0.8333333333333334,1.5,2.0,0.8333333333333334,0.5,40.0,51.19047619047619,0,0
Watford,Tottenham,1,2,A,18,18,23,31,18,14,29,32,1.2777777777777777,1.7222222222222223,1.0,0.7777777777777778,1.6111111111111112,1.7777777777777777,2.0,1.8333333333333333,1.0,0.6666666666666666,2.1666666666666665,1.8333333333333333,26.0,56.523809523809526,0,1
West Brom,Newcastle,1,0,H,18,18,17,19,24,33,20,17,0.9444444444444444,1.0555555555555556,1.3333333333333333,1.8333333333333333,1.1111111111111112,0.9444444444444444,1.1666666666666667,1.0,1.3333333333333333,1.8333333333333333,1.0,1.1666666666666667,38.333333333333336,53.45,0,0
West Ham,Southampton,2,1,H,18,18,26,25,22,21,26,24,1.4444444444444444,1.3888888888888888,1.2222222222222223,1.1666666666666667,1.4444444444444444,1.3333333333333333,0.5,1.0,1.0,1.3333333333333333,0.8333333333333334,0.6666666666666666,46.94444444444444,46.5,0,0
Leicester,Man City,0,0,D,18,18,37,37,25,20,38,35,2.0555555555555554,2.0555555555555554,1.3888888888888888,1.1111111111111112,2.111111111111111,1.9444444444444444,2.0,1.8333333333333333,0.8333333333333334,1.8333333333333333,2.1666666666666665,1.5,42.55555555555556,57.8125,0,1
